"word";"text_thread_id";"Yhteensä";"Suomi24 2021–2023: 2021";"Suomi24 2021–2023: 2022";"Suomi24 2021–2023: 2023"
"jauhelihakeitto";"10013074";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10013536";"0.004221865437534154";"0";"0";"0.011662659668371106"
"jauhelihakeitto";"10018155";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"10027676";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kalkkunan";"10028689";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalkkuna";"10028689";"0.004221865437534154";"0";"0";"0.011662659668371106"
"kakun";"10039172";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kahvi";"10048316";"0.004221865437534154";"0";"0";"0.011662659668371106"
"kani";"1004938";"0.004221865437534154";"0.006365315811706728";"0";"0.005831329834185553"
"kalja";"10052469";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauheliha";"10057839";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihakeitto";"10075732";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kakun";"10088247";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kalja";"10096614";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"10111726";"0.006332798156301231";"0.01909594743512018";"0";"0"
"jauhelihakeitto";"10116397";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"10117152";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jäätelö";"10123465";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihaa";"10124687";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10140718";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"10140718";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kaali";"10142696";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kastike";"10144739";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihaa";"10161755";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kalakeitto";"10168355";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10176265";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10181988";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kalaliemi";"10192809";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"10199547";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10200668";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10204204";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"10208441";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"10214223";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihakeitto";"10221768";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"10226672";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihakeitto";"10227601";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalkkuna";"10227871";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kana";"10227871";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kananmunan";"10231266";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10236652";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"10239504";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kananmunan";"10239504";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kantarelli";"10239504";"0.002110932718767077";"0";"0.006890118966516605";"0"
